candidate_id,score
CAND_0088025,110.96
CAND_0002025,109.42
CAND_0077337,109.36
CAND_0046064,108.35
CAND_0052328,106.63
CAND_0081846,106.23
CAND_0098454,106.14
CAND_0018499,105.75
CAND_0064326,104.22
CAND_0065195,104.2
CAND_0010257,103.69
CAND_0008425,103.01
CAND_0079387,103.01
CAND_0083307,102.81
CAND_0037160,102.69
CAND_0039754,102.04
CAND_0046525,101.87
CAND_0079064,101.83
CAND_0069905,101.09
CAND_0073007,101.01
CAND_0025882,100.71
CAND_0077067,100.65
CAND_0092070,100.33
CAND_0086022,100.21
CAND_0060072,99.85
CAND_0072547,99.67
CAND_0005538,99.38
CAND_0028422,99.29
CAND_0072688,98.83
CAND_0080766,98.82
CAND_0093912,98.79
CAND_0074735,98.65
CAND_0076482,98.61
CAND_0054100,98.53
CAND_0024878,98.43
CAND_0044222,98.37
CAND_0053591,98.35
CAND_0052682,98.34
CAND_0026424,98.24
CAND_0033861,97.82
CAND_0005649,97.79
CAND_0011162,97.75
CAND_0090155,97.43
CAND_0011432,97.42
CAND_0071974,97.26
CAND_0041669,97.19
CAND_0006567,97.18
CAND_0067866,96.9
CAND_0094165,96.61
CAND_0082086,96.61
CAND_0011687,96.54
CAND_0010283,96.25
CAND_0007009,96.19
CAND_0007412,96.11
CAND_0022870,95.94
CAND_0007978,95.83
CAND_0013536,95.81
CAND_0058412,95.76
CAND_0032179,95.75
CAND_0037566,95.66
CAND_0062247,95.55
CAND_0052612,95.52
CAND_0051292,95.48
CAND_0015967,95.46
CAND_0075249,95.37
CAND_0061257,95.29
CAND_0029367,95.18
CAND_0000165,95.11
CAND_0018722,95.02
CAND_0060257,95.0
CAND_0088020,94.93
CAND_0074225,94.92
CAND_0038949,94.84
CAND_0036121,94.79
CAND_0055992,94.69
CAND_0081852,94.64
CAND_0068811,94.43
CAND_0070398,94.38
CAND_0001980,94.38
CAND_0001930,94.37
CAND_0044883,94.37
CAND_0081709,94.27
CAND_0092568,94.24
CAND_0023541,94.22
CAND_0041610,94.2
CAND_0092706,94.16
CAND_0094056,94.15
CAND_0061265,94.13
CAND_0060538,94.13
CAND_0042506,94.11
CAND_0035653,94.04
CAND_0028793,94.03
CAND_0098846,93.99
CAND_0034650,93.93
CAND_0040178,93.91
CAND_0013393,93.88
CAND_0010541,93.87
CAND_0081686,93.86
CAND_0072407,93.84
CAND_0047542,93.83
CAND_0075574,93.78
CAND_0017960,93.74
CAND_0032089,93.74
CAND_0054354,93.64
CAND_0052431,93.62
CAND_0024947,93.55
CAND_0077498,93.54
CAND_0018549,93.54
CAND_0017362,93.52
CAND_0030031,93.45
CAND_0016170,93.43
CAND_0001056,93.4
CAND_0030953,93.36
CAND_0022127,93.32
CAND_0001131,93.22
CAND_0028527,93.17
CAND_0065769,93.17
CAND_0024620,93.17
CAND_0048812,93.13
CAND_0065153,93.09
CAND_0016317,93.03
CAND_0008517,93.0
CAND_0015132,92.98
CAND_0004131,92.96
CAND_0073883,92.91
